"Project","Category","FileName","Type","SizeKB","LastModified","FullPath"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14711_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89","2023-10-27 10:49","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14711_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","#13 HUnters BM Plumbing_Pay App .xlsx",".xlsx","36.9","2023-10-27 10:49","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\#13 HUnters BM Plumbing_Pay App .xlsx"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","B&M Plumbing - Combined Billing.pdf",".pdf","858.4","2023-12-18 18:55","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\B&M Plumbing - Combined Billing.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Select Specialties","Invoice 1169A - Hunters Landing.pdf",".pdf","59.1","2023-10-27 10:47","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Select Specialties\Invoice 1169A - Hunters Landing.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Select Specialties","Invoice 1208A - Hunters Landing.pdf",".pdf","58.1","2023-10-27 10:47","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Select Specialties\Invoice 1208A - Hunters Landing.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Select Specialties","Invoice 1238A - Hunters Landing.pdf",".pdf","57.7","2023-10-27 10:47","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Select Specialties\Invoice 1238A - Hunters Landing.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Select Specialties","Select Specialties Combined Billing.pdf",".pdf","173.4","2023-12-18 18:57","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Select Specialties\Select Specialties Combined Billing.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Atlas Disposal","Hunters landing - invoice #820316.pdf",".pdf","232","2023-11-02 14:21","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Atlas Disposal\Hunters landing - invoice #820316.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Atlas Disposal","Hunters landing - invoice #808702 -.pdf",".pdf","232.3","2023-11-02 14:21","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Atlas Disposal\Hunters landing - invoice #808702 -.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Atlas Disposal","Billing11-11541 8.pdf",".pdf","232.5","2023-11-02 14:23","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Atlas Disposal\Billing11-11541 8.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Atlas Disposal","Combined Billings.pdf",".pdf","696.8","2023-12-18 18:53","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Atlas Disposal\Combined Billings.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#288.pdf",".pdf","559.7","2023-11-02 15:18","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#288.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#327.pdf",".pdf","1518.9","2023-11-02 15:18","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#327.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#306.pdf",".pdf","683.7","2023-11-02 15:18","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#306.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","_2023-11-02_Inv.#284.pdf",".pdf","600.9","2023-11-02 15:34","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\_2023-11-02_Inv.#284.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#301.pdf",".pdf","643.5","2023-11-02 15:34","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#301.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#305.pdf",".pdf","1623.1","2023-11-02 15:34","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#305.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#326.pdf",".pdf","611.9","2023-11-02 16:00","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#326.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","2023-11-02_Inv.#325.pdf",".pdf","592.3","2023-11-02 16:00","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\2023-11-02_Inv.#325.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\GM Custom","GM Exterior - Combined Billings.pdf",".pdf","6833.1","2023-12-18 18:56","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\GM Custom\GM Exterior - Combined Billings.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\SCS","Draw 4.pdf",".pdf","588.5","2023-11-09 12:50","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\SCS\Draw 4.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\Fox and Hound","Fox and Hound Invoice.pdf",".pdf","773.3","2023-12-18 19:02","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\Fox and Hound\Fox and Hound Invoice.pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_04_$1,547,156.56_06.25.22 (1).pdf",".pdf","17978.7","2024-05-16 15:04","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_04_$1,547,156.56_06.25.22 (1).pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_06 $1,456,934.11_08.25.22 R1.pdf",".pdf","27487","2024-05-16 15:04","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_06 $1,456,934.11_08.25.22 R1.pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_11_$504,387.37_01.25.23.pdf",".pdf","34573.4","2024-05-16 15:09","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_11_$504,387.37_01.25.23.pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_10_$959,137.51_12.25.22 (1).pdf",".pdf","30848.5","2024-05-16 15:09","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_10_$959,137.51_12.25.22 (1).pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_07_$937,100.85_09.25.22.pdf",".pdf","22349.8","2024-05-16 15:09","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_07_$937,100.85_09.25.22.pdf"
